Bits,Epsilon,HammingWeight,Multiplications,Time,Algorithm,Set,Mode,Iterations,IsPrime,nMod4
32,15,5,0,1.133177E-06,mpz_probab_prime_p,primes,prep,1735639,1735639,3
32,15,5,0,1.123092E-06,mpz_probab_prime_p,primes,prep,1735639,1735639,3
32,15,5,0,1.124159E-06,mpz_probab_prime_p,primes,prep,1735639,1735639,3
32,15,5,0,1.123577E-06,mpz_probab_prime_p,primes,prep,1735639,1735639,3
32,15,5,0,1.124667E-06,mpz_probab_prime_p,primes,prep,1735639,1735639,3
32,15,5,0,1.123250E-06,mpz_probab_prime_p,primes,prep,1735639,1735639,3
32,15,5,0,1.126309E-06,mpz_probab_prime_p,primes,prep,1735639,1735639,3
32,15,5,0,1.156383E-06,mpz_probab_prime_p,primes,prep,1735639,1735639,3
32,15,5,0,1.177586E-06,mpz_probab_prime_p,primes,prep,1735639,1735639,3
32,15,5,0,1.479757E-06,mpz_probab_prime_p,primes,prep,1735639,1735639,3
36,31,6,0,1.588054E-06,mpz_probab_prime_p,primes,prep,1155151,1155151,3
36,31,6,0,1.257784E-06,mpz_probab_prime_p,primes,prep,1155151,1155151,3
36,31,6,0,1.302106E-06,mpz_probab_prime_p,primes,prep,1155151,1155151,3
36,31,6,0,1.239571E-06,mpz_probab_prime_p,primes,prep,1155151,1155151,3
36,31,6,0,1.200742E-06,mpz_probab_prime_p,primes,prep,1155151,1155151,3
36,31,6,0,1.219673E-06,mpz_probab_prime_p,primes,prep,1155151,1155151,3
36,31,6,0,1.185042E-06,mpz_probab_prime_p,primes,prep,1155151,1155151,3
36,31,6,0,1.180777E-06,mpz_probab_prime_p,primes,prep,1155151,1155151,3
36,31,6,0,1.180825E-06,mpz_probab_prime_p,primes,prep,1155151,1155151,3
36,31,6,0,1.216122E-06,mpz_probab_prime_p,primes,prep,1155151,1155151,3
40,15,5,0,1.286735E-06,mpz_probab_prime_p,primes,prep,1546485,1546485,3
40,15,5,0,1.287447E-06,mpz_probab_prime_p,primes,prep,1546485,1546485,3
40,15,5,0,1.295301E-06,mpz_probab_prime_p,primes,prep,1546485,1546485,3
40,15,5,0,1.267289E-06,mpz_probab_prime_p,primes,prep,1546485,1546485,3
40,15,5,0,1.230201E-06,mpz_probab_prime_p,primes,prep,1546485,1546485,3
40,15,5,0,1.299617E-06,mpz_probab_prime_p,primes,prep,1546485,1546485,3
40,15,5,0,1.227886E-06,mpz_probab_prime_p,primes,prep,1546485,1546485,3
40,15,5,0,1.232282E-06,mpz_probab_prime_p,primes,prep,1546485,1546485,3
40,15,5,0,1.213190E-06,mpz_probab_prime_p,primes,prep,1546485,1546485,3
40,15,5,0,1.205446E-06,mpz_probab_prime_p,primes,prep,1546485,1546485,3
44,7,4,0,1.265409E-06,mpz_probab_prime_p,primes,prep,1607387,1607387,3
44,7,4,0,1.252009E-06,mpz_probab_prime_p,primes,prep,1607387,1607387,3
44,7,4,0,1.262125E-06,mpz_probab_prime_p,primes,prep,1607387,1607387,3
44,7,4,0,1.247194E-06,mpz_probab_prime_p,primes,prep,1607387,1607387,3
44,7,4,0,1.249370E-06,mpz_probab_prime_p,primes,prep,1607387,1607387,3
44,7,4,0,1.247101E-06,mpz_probab_prime_p,primes,prep,1607387,1607387,3
44,7,4,0,1.247769E-06,mpz_probab_prime_p,primes,prep,1607387,1607387,3
44,7,4,0,1.247074E-06,mpz_probab_prime_p,primes,prep,1607387,1607387,3
44,7,4,0,1.249201E-06,mpz_probab_prime_p,primes,prep,1607387,1607387,3
44,7,4,0,1.249021E-06,mpz_probab_prime_p,primes,prep,1607387,1607387,3
48,21,4,0,1.286014E-06,mpz_probab_prime_p,primes,prep,1560204,1560204,1
48,21,4,0,1.289172E-06,mpz_probab_prime_p,primes,prep,1560204,1560204,1
48,21,4,0,1.311871E-06,mpz_probab_prime_p,primes,prep,1560204,1560204,1
48,21,4,0,1.549886E-06,mpz_probab_prime_p,primes,prep,1560204,1560204,1
48,21,4,0,1.357891E-06,mpz_probab_prime_p,primes,prep,1560204,1560204,1
48,21,4,0,1.293005E-06,mpz_probab_prime_p,primes,prep,1560204,1560204,1
48,21,4,0,1.351738E-06,mpz_probab_prime_p,primes,prep,1560204,1560204,1
48,21,4,0,1.340502E-06,mpz_probab_prime_p,primes,prep,1560204,1560204,1
48,21,4,0,1.328653E-06,mpz_probab_prime_p,primes,prep,1560204,1560204,1
48,21,4,0,1.365737E-06,mpz_probab_prime_p,primes,prep,1560204,1560204,1
52,21,4,0,1.809459E-06,mpz_probab_prime_p,primes,prep,1396853,1396853,1
52,21,4,0,1.619402E-06,mpz_probab_prime_p,primes,prep,1396853,1396853,1
52,21,4,0,1.326272E-06,mpz_probab_prime_p,primes,prep,1396853,1396853,1
52,21,4,0,1.325822E-06,mpz_probab_prime_p,primes,prep,1396853,1396853,1
52,21,4,0,1.491351E-06,mpz_probab_prime_p,primes,prep,1396853,1396853,1
52,21,4,0,1.347998E-06,mpz_probab_prime_p,primes,prep,1396853,1396853,1
52,21,4,0,1.324807E-06,mpz_probab_prime_p,primes,prep,1396853,1396853,1
52,21,4,0,1.350911E-06,mpz_probab_prime_p,primes,prep,1396853,1396853,1
52,21,4,0,1.454670E-06,mpz_probab_prime_p,primes,prep,1396853,1396853,1
52,21,4,0,1.339496E-06,mpz_probab_prime_p,primes,prep,1396853,1396853,1
56,81,4,0,1.431055E-06,mpz_probab_prime_p,primes,prep,1465612,1465612,1
56,81,4,0,1.497317E-06,mpz_probab_prime_p,primes,prep,1465612,1465612,1
56,81,4,0,1.395422E-06,mpz_probab_prime_p,primes,prep,1465612,1465612,1
56,81,4,0,1.431436E-06,mpz_probab_prime_p,primes,prep,1465612,1465612,1
56,81,4,0,1.949113E-06,mpz_probab_prime_p,primes,prep,1465612,1465612,1
56,81,4,0,1.445466E-06,mpz_probab_prime_p,primes,prep,1465612,1465612,1
56,81,4,0,1.368124E-06,mpz_probab_prime_p,primes,prep,1465612,1465612,1
56,81,4,0,1.361882E-06,mpz_probab_prime_p,primes,prep,1465612,1465612,1
56,81,4,0,1.360531E-06,mpz_probab_prime_p,primes,prep,1465612,1465612,1
56,81,4,0,1.365124E-06,mpz_probab_prime_p,primes,prep,1465612,1465612,1
60,33,3,0,1.457328E-06,mpz_probab_prime_p,primes,prep,1389629,1389629,1
60,33,3,0,1.439409E-06,mpz_probab_prime_p,primes,prep,1389629,1389629,1
60,33,3,0,1.446772E-06,mpz_probab_prime_p,primes,prep,1389629,1389629,1
60,33,3,0,1.439931E-06,mpz_probab_prime_p,primes,prep,1389629,1389629,1
60,33,3,0,1.442930E-06,mpz_probab_prime_p,primes,prep,1389629,1389629,1
60,33,3,0,1.442940E-06,mpz_probab_prime_p,primes,prep,1389629,1389629,1
60,33,3,0,1.582239E-06,mpz_probab_prime_p,primes,prep,1389629,1389629,1
60,33,3,0,1.708839E-06,mpz_probab_prime_p,primes,prep,1389629,1389629,1
60,33,3,0,1.461593E-06,mpz_probab_prime_p,primes,prep,1389629,1389629,1
60,33,3,0,1.454305E-06,mpz_probab_prime_p,primes,prep,1389629,1389629,1
64,13,4,0,2.317664E-06,mpz_probab_prime_p,primes,prep,802774,802774,1
64,13,4,0,2.172181E-06,mpz_probab_prime_p,primes,prep,802774,802774,1
64,13,4,0,2.112450E-06,mpz_probab_prime_p,primes,prep,802774,802774,1
64,13,4,0,2.108314E-06,mpz_probab_prime_p,primes,prep,802774,802774,1
64,13,4,0,2.355283E-06,mpz_probab_prime_p,primes,prep,802774,802774,1
64,13,4,0,2.118272E-06,mpz_probab_prime_p,primes,prep,802774,802774,1
64,13,4,0,2.155412E-06,mpz_probab_prime_p,primes,prep,802774,802774,1
64,13,4,0,2.107544E-06,mpz_probab_prime_p,primes,prep,802774,802774,1
64,13,4,0,2.277480E-06,mpz_probab_prime_p,primes,prep,802774,802774,1
64,13,4,0,2.199060E-06,mpz_probab_prime_p,primes,prep,802774,802774,1
80,13,4,0,2.637344E-06,mpz_probab_prime_p,primes,prep,759444,759444,1
80,13,4,0,2.629372E-06,mpz_probab_prime_p,primes,prep,759444,759444,1
80,13,4,0,2.629403E-06,mpz_probab_prime_p,primes,prep,759444,759444,1
80,13,4,0,2.638957E-06,mpz_probab_prime_p,primes,prep,759444,759444,1
80,13,4,0,2.629454E-06,mpz_probab_prime_p,primes,prep,759444,759444,1
80,13,4,0,2.627915E-06,mpz_probab_prime_p,primes,prep,759444,759444,1
80,13,4,0,2.635301E-06,mpz_probab_prime_p,primes,prep,759444,759444,1
80,13,4,0,2.627864E-06,mpz_probab_prime_p,primes,prep,759444,759444,1
